City,MSE
"Tucker CDP, Georgia",85988529.0
"Edison city, Georgia",104055537.66666667
"Leary city, Georgia",32629217.666666668
"Twin City city, Georgia",46459592.333333336
"Ellijay city, Georgia",1742042784.6666667
"Country Club Estates CDP, Georgia",21917676.666666668
"Panthersville CDP, Georgia",161961881.66666666
"Nashville city, Georgia",9453796.333333334
"Quitman city, Georgia",409466603.0
"Peachtree Corners city, Georgia",291943489.0
"Appling CDP, Georgia",1167983978.5
"Brookhaven city, Georgia",347931125.0
"Macon-Bibb County, Georgia",1217044.0
"Sautee-Nacoochee CDP, Georgia",1160317573.0
"McRae-Helena city, Georgia",130343524.0
"Tucker city, Georgia",1126686034.0
"Echols County consolidated government, Georgia",25022209.0
"Stonecrest city, Georgia",1197404041.0
"South Fulton city, Georgia",109077136.0
"Musella CDP, Georgia",0.0
"Naylor CDP, Georgia",0.0
"New England CDP, Georgia",3104941284.0
"Ohoopee CDP, Georgia",0.0
"Piney Grove CDP, Georgia",2108304.0
"Rincon city, Georgia",485849764.0
"Rock Spring CDP, Georgia",21996100.0
"Smarr CDP, Georgia",259210000.0
"Sterling CDP, Georgia",77862976.0
"Stockton CDP, Georgia",158760000.0
"Tazewell CDP, Georgia",0.0
"Waresboro CDP, Georgia",12278016.0
"Warthen CDP, Georgia",60902416.0
"Waverly CDP, Georgia",315844.0
"Waynesville CDP, Georgia",2823434496.0
"Wenona CDP, Georgia",0.0
"West Brow CDP, Georgia",8977941504.0
"Wildwood CDP, Georgia",17791524.0
"Antioch CDP, Georgia",99194762304.0
"Axson CDP, Georgia",2745760000.0
"Bemiss CDP, Georgia",93934864.0
"Berry College CDP, Georgia",0.0
"Blythe city, Georgia",143041600.0
"Bolingbroke CDP, Georgia",4426816.0
"Box Springs CDP, Georgia",755700100.0
"Bristol CDP, Georgia",557243236.0
"Buckhead CDP, Georgia",136515856.0
"Cataula CDP, Georgia",399040576.0
"Clyattville CDP, Georgia",37332100.0
"Cogdell CDP, Georgia",0.0
"Crescent CDP, Georgia",592922500.0
"Dixie CDP, Georgia",30900717796.0
"Dixie Union CDP, Georgia",0.0
"Ellerslie CDP, Georgia",1176901636.0
"Eulonia CDP, Georgia",189723076.0
"Everett CDP, Georgia",0.0
"Faceville CDP, Georgia",146361604.0
"Fairfield Plantation CDP, Georgia",895206400.0
"Fairplay CDP, Georgia",9635778244.0
"Gardi CDP, Georgia",0.0
"Glenn CDP, Georgia",54434884.0
"Godfrey CDP, Georgia",24010000.0
"Gough CDP, Georgia",1369000000.0
"Hickox CDP, Georgia",1373147136.0
"Hortense CDP, Georgia",1193702500.0
"Jekyll Island CDP, Georgia",1257269764.0
"Juliette CDP, Georgia",64416676.0
"Kennesaw State University CDP, Georgia",0.0
"Lenox town, Georgia",110754576.0
"Manor CDP, Georgia",0.0
"Mershon CDP, Georgia",23348224.0
"Millwood CDP, Georgia",0.0
